description,category,civic_issue
"The
 sewage water is overflowing and leading tobad odour as well. ",Sewage,1
It's thrown all over the place. ,Waste/Garbage,1
It's a huge stretch of Garbage dump next to highway,Waste/Garbage,1
The bin is full and it's thrown next to it.,Waste/Garbage,1
Garbage dump. Filled with flies and cow was eating from there.,Waste/Garbage,1
Manhole has been partially opened for the past 3 months,Potholes,1
Garbage is being dumped next to the garbage can. And it acts as an breeding place for mosquitoes and also the plastic waste is eaten by goats ,Waste/Garbage,1
Waste water,Potholes,1
Garbage dumped has not been cleared     for the past 3 weeks ,Waste/Garbage,1
"Water is not drained properly in my society.
Dirty water is stagnant which also causes mosquitoes to breed.",Sewage,1
Please clean the road and keep a dustbin in every road,Waste/Garbage,1
Reduce using vehicles,Traffic/Parking,1
Put new roads by taking our old road,Potholes,1
"Water scarcity, no water in taps. ",Water,1
"There is no garbage dustbins here.people throw their garbages in land which may cause health hazards in future
",Waste/Garbage,1
Ice house bus stand opposite of course u could see  that the plastic is overflowed  and cows and other animals eat plastic and might lead to death . This is because there is no street  dustbin now .. ,Waste/Garbage,1
"If water is leaked water scarcity must be there 
",Water,1
"Opposite
 to Maruti Suzuki motors(Kalyani motors).
There is an empty site next to Venkateshwara steels, the open space in the front is completely filled with garbage and used as urinal site.",Waste/Garbage,1
If street lights are not there many peoples are slipped and getting hurt ,Potholes,1
Leakage of drainage water has flooded the entire road.,Potholes,1
"People are spliting in the road
",Waste/Garbage,1
Near my house there is a dustbin. It is not being cleaned or cleared.There are many mosquitos and so we tried to clean it but after sometime the thing happened.,Waste/Garbage,1
"It is because of water bore and ever house is doing it and we cannot even walk
",Traffic/Parking,1
"In front of house their are drums kept and mosquitoes are coming
",Water,1
"Sir, In this place there was a common dustbin but now there is no dustbin not only here. In every where there were dust bin is now having a God's  photo so people would not put garbage ",Waste/Garbage,1
The roads in my area are too dirty. The dustbins in our area are so badly kept . The bin shown in the image is in right front of the corporation office but still it remains the same.,Waste/Garbage,1
The man holes on the pedestrian path are not properly sealed and so they cause discomfort to whoever who walks past it. Whenever it rains the drainage overflows and it becomes smelly.,Potholes,1
I really thing cows are suppose to be kept in a safe and nice place instead  of  standing here and there at morning there would more than 5 cows which is  really disturbing  people even to stand .,Traffic/Parking,1
This is the condition for many years,Waste/Garbage,1
"Street lights are not working for past 2 years please do the need full.thank you
",Streetlights,1
"There are electrical wires hanging off the post. 
Many pedestrians commuting in that footpath find it difficult because of these wires . As a pedestrian I wouldn't like it to be hanging there .",Streetlights,1
A large no.  Of wastes are there near the dustbin. So the nearby buildings gets stinky smell. There are just throwing waste inside a plastic bag. Many cows roaming there eats the even the plastic bag.,Waste/Garbage,1
"Instead of keeping a garbage dump in the vacant land , we can plant more trees",Waste/Garbage,1
Garbage is blocking the pathway. The stench is also disgusting ,Waste/Garbage,1
Manholes are overflowing,Potholes,1
The waste comes out to the road most of the times which is difficult for vehicles to travel through that way as it blocks the upcoming vehicles.,Waste/Garbage,1
This place has been the major dump place for this area and it has been in this condition for many years. The government have not taken any step towards this problem even after repeated complaining.,Waste/Garbage,1
Garbage is dumped a lot under the triplicane railways station. The cows also feed on these,Waste/Garbage,1
Use of vehicles can be reduced and vehicles such as cycles can replace huge cars and the number of factories in our country can be reduced,Air,1
Garbage bin has been removed from our street.  No place to put our garbages. Please provide bin.,Waste/Garbage,1
It's not been clean from long time. It's stinking,Waste/Garbage,1
This is place in arunachalam road saligramam where this particular spot has been dug up for sewage cleaning and the road has not been laid properly yet.,Potholes,1
This is place in arunachalam road saligramam where this particular spot has been dug up for sewage cleaning and the road has not been laid properly yet.,Potholes,1
This is place in arunachalam road saligramam where this particular spot has been dug up for sewage cleaning and the road has not been laid properly yet.,Potholes,1
"A plastic bag once thrown in the ground take centuries together to degenerate. Since most of the plastic bags we use are not biodegradable,they would just break into small pieces and never decompose.",Waste/Garbage,1
Garbages(especially food waster) are thrown in road side. There are lot of mosquitos and flies are coming from there. ,Waste/Garbage,1
Government officials can solve the problem ,Waste/Garbage,1
Garbage (especially food waste) are thrown in road side. Lot of house flies and mosquitos are coming from there.,Waste/Garbage,1
Dustbin is full. And needs to be cleared,Waste/Garbage,1
Open drain in place of footpath at Hulimavu Gate. Caused by metro construction.,Sewage,1
Drainage covers strewn on roadside next to Hopcom,Waste/Garbage,1
"This is old and rusted signal in the platform of dav boys school,mogappair.chidren might get hurt here",Streetlights,1
"This garbage is beside my house which stinks a lot
",Waste/Garbage,1
This garbage dump is overfull and not noticed by the government.many street shop may get affected by this.,Waste/Garbage,1
"This is also near my house where people through the waste on the road side and go
",Waste/Garbage,1
"This a overfilled garbage not noticed by corporation.many road shop maight get affected from this
",Waste/Garbage,1
"Please make sure that we would keep a garbage disposal here
",Waste/Garbage,1
This is a car glass and branch in a platform.,Waste/Garbage,1
"Road was not been properly made.first the road was full of mud .then they came and put some pebbles and they left the road for 8 months.the cars and bikes are going in 70km speed .please repair these
",Potholes,1
"This wire is in the main road near golden flats
",Streetlights,1
This is a cow dong in the platform.people cross the road very sadly,Waste/Garbage,1
There is no proper drainage system and mosquitoes are laying eggs and people staying near the drainage are always getting dengue ,Potholes,1
Stray cattle on the road ,Waste/Garbage,1
This is a junction in arunachalam road . This particular place has been dug up by the sewage cleansing dept of chennai and has not relaid properly,Potholes,1
The garbage dumping in our area is not cleared very often and the cows and dogs are eating these plastics and one of the cow in our area was dead due to this garbages.the garbage can is broken pls fix,Waste/Garbage,1
Water is been not enough or fit for human use.,Water,1
"Dumping a lot of garbage in vacant land
",Waste/Garbage,1
There were so much of vehicles were parked. Old people gets disturbed by the parking of these vehicles and the corporation is not cooperating with us for clearing the wastes there were no response,Traffic/Parking,1
In many areas there are water scarcity but we still waste water. Some taps are leaking but we don't repair it. ,Water,1
Always ensure that your taps are in good condition . please don't waste water. Please close the tap tight . ,Water,1
This corporation garbage bin is near my home. It is really  polluting the atmosphere around and it is sad to see the animals eating the garbage. The surrounding looks unclean and this causes diseases.,Waste/Garbage,1
"Before the gate of DABC Mithilam apartment there is a  garbage dump and is eaten by the  dogs, cows. The garbage trucks don't clear it often. The photo above is showing the situation and the issue.",Waste/Garbage,1
"Open garbage is a health hazard . When the garbage is burnt, it causes air pollution and the smoke produced affects the people and animals and kill them too . This is   danger for people and children ",Waste/Garbage,1
"Drainage system left open
",Sewage,1
Smelly garbage lying on the drain ,Sewage,1
Garbage lying on pits,Waste/Garbage,1
Garbage lying on drain ,Sewage,1
Garbage stinking ,Waste/Garbage,1
Garbage over large pits,Waste/Garbage,1
A huge pile of garbage is lying on the road some cows eat them and also sleep on them,Waste/Garbage,1
Cloth bags lying along with plastics,Waste/Garbage,1
Because of this  problem many children's fell on the ground  while driveing  cycle ,Potholes,1
Garbage lying on the foot path,Waste/Garbage,1
There is water scarcity in our because the lorry had not came......,Waste/Garbage,1
Please try to stop water leakage and scarcity,Water,1
"In my nearby house there are full of rubbish and it is stinking 
Near the rubbish the current box also affected 
Pls enquiry this.... ",Waste/Garbage,1
"The drainage is broken people are throwing garbage in it
",Potholes,1
The school near my house known as Chennai public school and near it there are many vehicles parked on the middle of the road I suggest to install traffic light or traffic cop,Traffic/Parking,1
This slab is in the turning of the road,Potholes,1
There is no water in Chennai and water lekage,Water,1
This waste is in outside the apartment's compound,Waste/Garbage,1
People feel very to cross this damaged road ,Potholes,1
"Here,the wastage of all daily uses are dumped near a trasformer (current box) .It is dangerous and also the public is not mentioning,the govt. and sweepers also told.
I hope this issue will be cleared",Waste/Garbage,1
"Here,the garbages are dumped near a current box contains 1400 volt,it is very dangourous and also the public has lead the govt. And also to the sweepers to clean them.I hope this issue will be cleared",Waste/Garbage,1
In that it self people walk in that stamp it and go and causes air pollution becoz of the smell,Waste/Garbage,1
